Cycle Snail Weed Cabbage
0 10 20 27
1 11 21 29
2 11 22 33
3 11 24 35
4 11 26 40
5 11 27 41
6 11 28 44
7 12 29 47
8 13 30 49
9 13 31 49
10 13 31 51
11 13 33 51
12 13 33 51
13 13 33 51
14 13 33 51
15 13 33 51
16 13 33 51
17 12 33 51
18 12 33 51
19 13 32 50
20 13 32 50
21 12 33 51
22 11 32 47
23 10 34 48
24 11 32 47
25 11 29 47
26 11 29 48
27 11 30 49
28 11 31 46
29 11 32 45
30 10 32 46
31 11 31 45
32 12 31 46
33 11 29 45
34 11 30 48
35 11 30 50
36 12 29 50
37 12 28 47
38 13 27 50
39 13 26 49
40 13 26 50
41 13 26 52
42 14 26 52
43 14 25 52
44 15 25 52
45 15 26 52
46 15 25 50
47 16 24 52
48 17 24 55
49 17 24 55
50 16 23 56
51 17 23 53
52 16 22 55
53 16 23 55
54 17 23 55
55 17 21 54
56 17 19 51
57 17 19 54
58 17 19 52
59 19 19 51
60 19 21 50
61 19 21 49
62 20 20 50
63 20 21 48
64 20 21 45
65 20 21 44
66 22 20 41
67 22 20 41
68 22 20 42
69 21 20 41
70 21 20 43
71 22 21 41
72 23 21 40
73 25 21 38
74 25 22 40
75 26 21 39
76 26 20 40
77 27 20 43
78 27 21 44
79 26 21 46
80 26 22 44
81 26 21 44
82 25 21 44
83 24 21 44
84 24 22 43
85 25 23 45
86 25 23 47
87 27 22 47
88 27 22 48
89 26 22 47
90 26 23 47
91 25 23 47
92 24 23 46
93 24 22 47
94 25 22 45
95 24 22 44
96 24 22 44
97 24 21 46
98 22 22 45
99 23 21 45
